Scenario,EV_quantile,EV_cut,Profit_Target,Max_Holding_Days,Actual_Max_Holding_Days,Stop_Level,Total_Return,Seed_Multiple,Max_Drawdown,Max_Loss_Rate,Idle_Days,Success_Rate,Cycle_Count
2,0.7,0.0590911260249736,0.15,20,20.0,0.0,1.1631266654751449,2.163126665475145,-0.03803890356332625,-1.164153218269348e-16,146.0,0.6306818181818182,176.0
2,0.65,0.0550199934282885,0.15,20,20.0,0.0,1.1457870588406984,2.1457870588406984,-0.03803890851269492,-1.1214627918161872e-16,87.0,0.6348314606741573,178.0
2,0.7,0.0590911260249736,0.1,20,20.0,0.0,1.1088458109630155,2.1088458109630155,-0.03803890291136153,-1.4684461957773098e-16,155.0,0.7162790697674418,215.0
2,0.65,0.0550199934282885,0.1,20,20.0,0.0,1.0742934414966467,2.0742934414966467,-0.03714372349708145,-1.5761478789036187e-16,100.0,0.7136150234741784,213.0
2,0.75,0.0608301956165016,0.15,20,20.0,0.0,1.0427980588666568,2.0427980588666568,-0.03662605525600064,-1.4455411692139999e-16,297.0,0.6325301204819277,166.0
2,0.75,0.0608301956165016,0.1,20,20.0,0.0,0.9980104320391261,1.998010432039126,-0.03662605449545776,-1.164153218269348e-16,315.0,0.7093596059113301,203.0
2,0.7,0.0590911260249736,0.15,20,20.0,-0.05,0.8596285559575851,1.8596285559575851,-0.039205627023346144,-0.05000000000000023,146.0,0.6306818181818182,176.0
2,0.65,0.0550199934282885,0.05,20,20.0,0.0,0.8474873495968287,1.8474873495968287,-0.03662604935768987,-1.3514321458976723e-16,110.0,0.8118811881188119,303.0
2,0.65,0.0550199934282885,0.15,20,20.0,-0.05,0.8452546296369456,1.8452546296369456,-0.045202490643208894,-0.050000000000000225,87.0,0.6348314606741573,178.0
2,0.7,0.0590911260249736,0.05,20,20.0,0.0,0.8285923253258265,1.8285923253258265,-0.036626064536406364,-1.709809948875602e-16,181.0,0.8114478114478114,297.0
2,0.7,0.0590911260249736,0.1,20,20.0,-0.05,0.8202695113194616,1.8202695113194616,-0.03803889656462121,-0.050000000000000225,155.0,0.7162790697674418,215.0
2,0.75,0.0608301956165016,0.05,20,20.0,0.0,0.8132752096064102,1.8132752096064102,-0.03662604829315428,-1.164153218269348e-16,342.0,0.8137931034482758,290.0
2,0.65,0.0550199934282885,0.1,20,20.0,-0.05,0.7910855446890015,1.7910855446890015,-0.04465955829453313,-0.050000000000000204,100.0,0.7136150234741784,213.0
2,0.75,0.0608301956165016,0.15,20,20.0,-0.05,0.7765745935942381,1.776574593594238,-0.036626057941420424,-0.05000000000000021,297.0,0.6325301204819277,166.0
2,0.75,0.0608301956165016,0.1,20,20.0,-0.05,0.7353007463749777,1.7353007463749777,-0.03662606284418413,-0.05000000000000019,315.0,0.7093596059113301,203.0
2,0.7,0.0590911260249736,0.15,20,20.0,-0.1,0.6453937293574272,1.6453937293574272,-0.050684087654037716,-0.1000000000000001,146.0,0.6306818181818182,176.0
2,0.65,0.0550199934282885,0.15,20,20.0,-0.1,0.6310169917432622,1.6310169917432622,-0.05383091809264355,-0.10000000000000013,87.0,0.6348314606741573,178.0
2,0.65,0.0550199934282885,0.05,20,20.0,-0.05,0.611338660585464,1.611338660585464,-0.036626064818262624,-0.05000000000000022,110.0,0.8118811881188119,303.0
2,0.7,0.0590911260249736,0.1,20,20.0,-0.1,0.603202487562257,1.603202487562257,-0.043253924074973304,-0.10000000000000013,155.0,0.7162790697674418,215.0
2,0.7,0.0590911260249736,0.05,20,20.0,-0.05,0.5976322781260492,1.5976322781260492,-0.036626065212816965,-0.050000000000000225,181.0,0.8114478114478114,297.0
2,0.75,0.0608301956165016,0.15,30,30.0,0.0,0.5967495664187299,1.59674956641873,-0.0246454296530794,-1.37392132818286e-16,235.0,0.6956521739130435,138.0
2,0.75,0.0608301956165016,0.05,20,20.0,-0.05,0.5937616427795342,1.5937616427795342,-0.03662605828435804,-0.050000000000000266,342.0,0.8137931034482758,290.0
2,0.65,0.0550199934282885,0.15,30,30.0,0.0,0.591998478248372,1.591998478248372,-0.027550876266205934,-1.5804478391073371e-16,59.0,0.6690140845070423,142.0
2,0.75,0.0608301956165016,0.15,20,20.0,-0.1,0.5883194973783332,1.5883194973783332,-0.04075317482362397,-0.10000000000000016,297.0,0.6325301204819277,166.0
2,0.65,0.0550199934282885,0.1,20,20.0,-0.1,0.5748328002789069,1.574832800278907,-0.05599862487194231,-0.10000000000000012,100.0,0.7136150234741784,213.0
2,0.7,0.0590911260249736,0.15,30,30.0,0.0,0.5736543206436637,1.5736543206436637,-0.027550885768233255,-1.372303071989838e-16,98.0,0.6642857142857143,140.0
2,0.65,0.0550199934282885,0.1,30,30.0,0.0,0.5492057303053808,1.5492057303053808,-0.024857252918631556,-1.3580813847872178e-16,98.0,0.7586206896551724,174.0
2,0.75,0.0608301956165016,0.1,20,20.0,-0.1,0.5380555415771775,1.5380555415771775,-0.03662604972386615,-0.1000000000000001,315.0,0.7093596059113301,203.0
2,0.7,0.0590911260249736,0.1,30,30.0,0.0,0.5236418408340038,1.5236418408340038,-0.02809562472962176,-1.3717075183138933e-16,138.0,0.7470588235294118,170.0
2,0.75,0.0608301956165016,0.1,30,30.0,0.0,0.5101657981270906,1.5101657981270906,-0.02464541940438101,0.0,258.0,0.7530120481927711,166.0
2,0.75,0.0608301956165016,0.15,30,30.0,-0.05,0.49751714484955256,1.4975171448495526,-0.024645435261740074,-0.050000000000000225,235.0,0.6956521739130435,138.0
2,0.65,0.0550199934282885,0.15,30,30.0,-0.05,0.47892352218210643,1.4789235221821064,-0.027550884154206895,-0.05000000000000016,59.0,0.6690140845070423,142.0
2,0.7,0.0590911260249736,0.15,30,30.0,-0.05,0.4621048771106644,1.4621048771106644,-0.02755086981922147,-0.05000000000000021,98.0,0.6642857142857143,140.0
2,0.65,0.0550199934282885,0.1,30,30.0,-0.05,0.451452018781038,1.451452018781038,-0.026186074865186097,-0.0500000000000002,98.0,0.7586206896551724,174.0
2,0.65,0.0550199934282885,0.05,30,30.0,0.0,0.43285554667726944,1.4328555466772694,-0.02521184596542304,-1.593397799608425e-16,98.0,0.8509803921568627,255.0
2,0.75,0.0608301956165016,0.05,20,20.0,-0.1,0.431736964864893,1.431736964864893,-0.03844608693853755,-0.10000000000000012,342.0,0.8137931034482758,290.0
